(Label: node_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.ambienttemp, Match: length, Ontology: seasgenericproperty, Score: 0)
(Label: temperature_data.blade_a_temp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.blade_b_temp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.blade_c_temp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.ctrlcabinettemp, Match: diameter, Ontology: seasgenericproperty, Score: 0)
(Label: temperature_data.frontbearingtemp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.nacelleambienttemp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.nacellectrlcabtemp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.nacelletemp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.nbsamplingvalues, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.rearbearingtemp, Match: nacelle, Ontology: platoonwindturbine, Score: 0)
(Label: temperature_data.rectifiercab_temp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.rotortemp_1, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.rotortemp_2, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.spinnertemp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.statortemp_1, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.statortemp_2, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.tempblade_a_pitchheatsink, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: temperature_data.tempblade_b_pitchheatsink, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.tempblade_c_pitchheatsink, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.tempexcitationheatsink, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.tempinsys_1_powercab_1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.tempinsys_1_powercab_2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.tempinsys_1_powercab_3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.temppitchctrlbox_blade_a, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.temppitchctrlbox_blade_b, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.temppitchctrlbox_blade_c, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.temprectifier_1_heatsink, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.temprectifier_2_heatsink, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.towertemp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: temperature_data.transformertemp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_ambientbrightness, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_availableactivepowerlimitedbyextsetpoints, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_bladeangleacross_a_b_c, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_labkoiceamplforicedetection, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_maxavailableactivepowerlimitedbyforcemajeure, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_technicallyavailableactivepower, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.avg_theoreticallavailableactivepowerinthewind, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.energyproduced, Match: electric energy production property, Ontology: platoonenergy, Score: 0)
(Label: wec_std.nacelleposition, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.nbsamplingvalues, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.operatinghours, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.power.avg, Match: has active power reference, Ontology: platoonenergy, Score: 0)
(Label: wec_std.power.max, Match: has maximum active power, Ontology: platoonenergy, Score: 0)
(Label: wec_std.power.min, Match: has minimum active power, Ontology: platoonenergy, Score: 0)
(Label: wec_std.precipitation.avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.precipitation.max, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.precipitation.min, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wec_std.productivveminutes, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.reactivepower.avg, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.reactivepower.max, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.reactivepower.min, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.rotorspeed.avg, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.rotorspeed.max, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.rotorspeed.min, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.visibility.avg, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.visibility.max, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.visibility.min, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: wec_std.windspeed.avg, Match: windspeed, Ontology: ontowind, Score: 0)
(Label: wec_std.windspeed.max, Match: windspeed, Ontology: ontowind, Score: 0)
(Label: wec_std.windspeed.min, Match: windspeed, Ontology: ontowind, Score: 0)
(Label: time, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: activepowergeneration [kw], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: activepowerconsumption [kw], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: currentl1 [a], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: currentl2 [a], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: currentl3 [a], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: reactivepowergeneration [kvar], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: reactivepowerconsumption [kvar], Match: positive reactive power evaluation, Ontology: enershareproperty, Score: 0)
(Label: voltagel1 [v], Match: has charge power, Ontology: enersharesystem, Score: 0)
(Label: voltagel2 [v], Match: has charge power, Ontology: enersharesystem, Score: 0)
(Label: voltagel3 [v], Match: has charge power, Ontology: enersharesystem, Score: 0)
(Label: interval, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: power (kw), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: td (st. c), Match: has temperature rating, Ontology: enershareproperty, Score: 0)
(Label: tp (st. c), Match: has temperature rating, Ontology: enershareproperty, Score: 0)
(Label: flow (m3/h), Match: has total electric energy load, Ontology: enershareproperty, Score: 0)
(Label: status of the meter (mwh), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: interval, Match: has evaluation region, Ontology: enershareproperty, Score: 0)
(Label: tzun (0c), Match: has evaluation region, Ontology: enershareproperty, Score: 0)
(Label: td (0c), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: tp (0c), Match: has normal value interval, Ontology: enershareproperty, Score: 0)
(Label: thermal power(kw), Match: has evaluation region, Ontology: enershareproperty, Score: 0)
(Label: upra_gji_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: zk_gji_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: to_cev_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: diameter_nominal_mm, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: external_diameter_mm, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: year_of_construction, Match: gbtconnector, Ontology: enersharesystem, Score: 0)
(Label: year_of_insulation, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: branch, Match: natural gas grid, Ontology: enersharegrid, Score: 0)
(Label: type_of_grid_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: functionname, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: material_type, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: owner_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: manager_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: system_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: source_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: accuracy_xy_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: accuracy_z_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gji_vis_date_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gji_zk_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: geo_position, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: position_of_pipe_system_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: inventory_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: os_id_mov, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: os_id_sos, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: inseration_date, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: change_date, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: comment, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: tip_spr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: oid, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: length, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: component, Match: charging scheduled, Ontology: enershareschedule, Score: 0)
(Label: carrier, Match: national grid, Ontology: enersharegrid, Score: 0)
(Label: bus, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: from bus, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: to bus, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pnom, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: capital cost, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: marginal cost, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: input_series_source_type, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: input_series_source_uri, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: use_case_name, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: investment period, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: carrier, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: capacity factor, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: capital expenditure, Match: nomatch, Ontology: nomatch file, Score: 0)
(Label: curtailment, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: dispatch, Match: delivers electricity to, Ontology: enersharesystem, Score: 0)
(Label: installed capacity, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: market value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: operational expenditure, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: optimal capacity, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: revenue, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: supply, Match: feeds electricity to, Ontology: enersharesystem, Score: 0)
(Label: withdrawal, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: min_total_load, Match: has minimum charge power, Ontology: enersharesystem, Score: 0)
(Label: max_total_load, Match: has maximum charge power, Ontology: enersharesystem, Score: 0)
(Label: min_total_load, Match: has minimum charge power, Ontology: enersharesystem, Score: 0)
(Label: max_total_load, Match: has maximum charge power, Ontology: enersharesystem, Score: 0)
(Label: min_total_load, Match: has minimum charge power, Ontology: enersharesystem, Score: 0)
(Label: max_total_load, Match: has maximum charge power, Ontology: enersharesystem, Score: 0)
(Label: total_load, Match: electric energy load property, Ontology: platoonenergy, Score: 0)
(Label: actual_load, Match: has active power reference, Ontology: platoonenergy, Score: 0)
(Label: price, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: lignite, Match: coal energy, Ontology: enershareenergyresource, Score: 0)
(Label: natural_gas, Match: natural gas energy, Ontology: enershareenergyresource, Score: 0)
(Label: hydroelectric, Match: electric energy, Ontology: enershareenergyresource, Score: 0)
(Label: renewables, Match: green hydrogen gas, Ontology: enershareenergyresource, Score: 0)
(Label: net_imports, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: res_forecast, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: res_injections, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: net load, Match: has total electric energy load, Ontology: enershareproperty, Score: 0)
(Label: total imports, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: total exports, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: gr_al, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: al_gr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gr_bg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: bg_gr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gr_it, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: it_gr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gr_mk, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: mk_gr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gr_tr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: tr_gr, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: timestamp, Match: time duration, Ontology: time, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: ns0:value, Ontology: ontowind, Score: 0)
(Label: fossil_brown_coal/lignite, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: fossil_gas, Match: ns0:type, Ontology: ontowind, Score: 0)
(Label: fossil_oil, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: hydro_pumped_storage, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: hydro_water_reservoir, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: solar, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wind_onshore, Match: ns0:swept_area, Ontology: ontowind, Score: 0)
(Label: scheduled_generation, Match: has predictive maintenance schedule, Ontology: enershareschedule, Score: 0)
(Label: solar_dayahead, Match: charging scheduled event, Ontology: enershareevent, Score: 0)
(Label: solar_intraday, Match: charging session, Ontology: enershareevent, Score: 0)
(Label: wind_dayahead, Match: charging scheduled event, Ontology: enershareevent, Score: 0)
(Label: wind_intraday, Match: charging session, Ontology: enershareevent, Score: 0)
(Label: timestamp, Match: year, Ontology: time, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_type, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: min_delivery_pressure, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: max_delivery_pressure, Match: has maximum delivery pressure, Ontology: enershareproperty, Score: 0)
(Label: entry_point, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: c1, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: c2, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: c3, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: i_c4, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: n_c4, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: i_c5, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: n_c5, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: neo_c5, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: c6_plus, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: n2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: co2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gross_heating_value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: wobbe_index, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: water_dew_point, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: hydrocarbon_dew_point_max, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_type, Match: forecast of solar radiation property, Ontology: platoonweather, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_type, Match: low voltage evaluation, Ontology: seaselectricpowersystem, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_type, Match: status power curve property, Ontology: platoonenergy, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: value, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: point_type, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: t1, Match: connects system in hot1-to-hot2, Ontology: seaselectricpowersystem, Score: 0)
(Label: t2, Match: connects system in triangle at, Ontology: seaselectricpowersystem, Score: 0)
(Label: p_total_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: q_total_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: v_ab_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: v_bc_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: v_ca_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: freq_avg, Match: frequency meter, Ontology: enersharedevice, Score: 0)
(Label: a_an_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: a_bn_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: a_cn_avg, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: measureid, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vehicleid, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: brand, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: model, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: battery power (kw), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: battery capacity (kwh), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: connector type, Match: gbtconnector, Ontology: enersharesystem, Score: 0)
(Label: autonomy (km), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: odometer (km), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: battery soc (%), Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: ocpp_device, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: type, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: integration, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: created_at, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: attributes, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: partner_name, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: user_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: connector_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: external_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: charge_point, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vendor, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: model, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: serial_number, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: charge_box, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: ocpp_protocol, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: registration_status, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: settings, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: charging_preferences, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: charging_behavior, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: ready_time, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: location_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: spot_price_area_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: target_soc, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: minimal_soc, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: minimum_energy_transfer, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: target_energy_transfer, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: ocpp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: battery_capacity, Match: has maximum charge power, Ontology: enersharesystem, Score: 0)
(Label: current_soc, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: associated_device_id, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: device_telemetry, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: timestamp, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: device_id, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: telemetry, Match: frequency meter, Ontology: enersharedevice, Score: 0)
(Label: connector_status_timestamp, Match: seal, Ontology: enersharewindturbine, Score: 0)
(Label: connector_status, Match: chamber, Ontology: enersharewindturbine, Score: 0)
(Label: firmware_version, Match: converter, Ontology: platoonwindturbine, Score: 0)
(Label: connector_error_code, Match: short circuit, Ontology: enersharefailure, Score: 0)
(Label: connector_vendor_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: connector_vendor_error_code, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: heartbeat_timestamp, Match: high speed shaft, Ontology: platoonwindturbine, Score: 0)
(Label: time_to_full_charge, Match: stator, Ontology: platoonwindturbine, Score: 0)
(Label: time_to_minimum_charge, Match: stator frame, Ontology: platoonwindturbine, Score: 0)
(Label: measurement, Match: has electric energy consumption, Ontology: platoonenergy, Score: 0)
(Label: transaction_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
