1. (Label: GearOilTemperature_val, Match: <https://w3id.org/platoon/hasInputOilAverageTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
8. (Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: <https://w3id.org/enershare/property/hasHeatLossCoefficient>, Ontology: EnershareProperty.txt, Score: 0.9)
9. (Label: temperature_Data.TempExcitationHeatSink, Match: <https://w3id.org/enershare/property/hasCalculatedHeatLossCoefficient>, Ontology: EnershareProperty.txt, Score: 0.9)
10. (Label: temperature_Data.TempInSys_1_PowerCab_1, Match: <https://w3id.org/enershare/property/hasAllowableHeatLossCoefficient>, Ontology: EnershareProperty.txt, Score: 0.9)
1. (Label: temperature_Data.TempInSys_1_PowerCab_2, Match: <https://w3id.org/platoon/hasInputOilAverageTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
2. (Label: temperature_Data.TempInSys_1_PowerCab_3, Match: <https://w3id.org/platoon/hasInputOilMaximumTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
3. (Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: <https://w3id.org/enershare/windturbine/A>, Ontology: EnershareWindturbine.txt, Score: High)
4. (Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: <https://w3id.org/enershare/windturbine/B>, Ontology: EnershareWindturbine.txt, Score: High)
5. (Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: <https://w3id.org/enershare/windturbine/F>, Ontology: EnershareWindturbine.txt, Score: High)
6. (Label: temperature_Data.TempRectifier_1_HeatSink, Match: <https://w3id.org/platoon/hasTemperatureRotorSide>, Ontology: PlatoonWindturbine.txt, Score: High)
7. (Label: temperature_Data.TempRectifier_2_HeatSink, Match: <https://w3id.org/platoon/hasTemperatureGeneratorSide>, Ontology: PlatoonWindturbine.txt, Score: High)
8. (Label: temperature_Data.TowerTemp, Match: <https://w3id.org/platoon/hasInputAirTemperature>, Ontology: PlatoonWeather.txt, Score: High)
9. (Label: temperature_Data.TransformerTemp, Match: <https://w3id.org/platoon/hasInputOilMinimumTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
10. (Label: wec_std.Avg_AmbientBrightness, Match: <https://w3id.org/enershare/system/hasChargePower>, Ontology: EnershareSystem.txt, Score: Medium)
1. (Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: <https://w3id.org/platoon/hasOutputActivePower>, Ontology: PlatoonEnergy.txt, Score: 0.85)
2. (Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: <https://w3id.org/seas/ExtraHighVoltage>, Ontology: SEASElectricPowerSystem.txt, Score: 0.65)
3. (Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: <https://w3id.org/enershare/property/PositiveActivePowerProperty>, Ontology: EnershareProperty.txt, Score: 0.75)
4. (Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: <https://w3id.org/platoon/hasRatedePower>, Ontology: PlatoonEnergy.txt, Score: 0.8)
5. (Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: <https://w3id.org/platoon/hasOutputActivePower>, Ontology: PlatoonEnergy.txt, Score: 0.85)
6. (Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: <https://w3id.org/platoon/hasRatedePower>, Ontology: PlatoonEnergy.txt, Score: 0.8)
7. (Label: wec_std.EnergyProduced, Match: <https://w3id.org/platoon/hasOutputPower>, Ontology: PlatoonEnergy.txt, Score: 0.85)
8. (Label: wec_std.NacellePosition, Match: <https://w3id.org/seas/efficiency>, Ontology: SEASElectricPowerSystem.txt, Score: 0.6)
9. (Label: wec_std.NbSamplingValues, Match: <https://w3id.org/platoon/hasForecastOfPowerProduction>, Ontology: PlatoonEnergy.txt, Score: 0.8)
10. (Label: wec_std.OperatingHours, Match: <https://w3id.org/platoon/hasRatedePower>, Ontology: PlatoonEnergy.txt, Score: 0.8)
1. (Label: wec_std.Power.avg, Match: <https://w3id.org/platoon/hasAverageStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.9)
2. (Label: wec_std.Power.max, Match: <https://w3id.org/platoon/hasMaximumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.9)
3. (Label: wec_std.Power.min, Match: <https://w3id.org/platoon/hasMinimumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.9)
4. (Label: wec_std.Precipitation.avg, Match: <https://w3id.org/platoon/hasAverageStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
5. (Label: wec_std.Precipitation.max, Match: <https://w3id.org/platoon/hasMaximumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
6. (Label: wec_std.Precipitation.min, Match: <https://w3id.org/platoon/hasMinimumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
7. (Label: wec_std.ProductivveMinutes, Match: <https://w3id.org/enershare/system/hasEnergyCapacity>, Ontology: EnershareSystem.txt, Score: 0.7)
8. (Label: wec_std.ReactivePower.avg, Match: <https://w3id.org/platoon/hasAverageStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
9. (Label: wec_std.ReactivePower.max, Match: <https://w3id.org/platoon/hasMaximumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
10. (Label: wec_std.ReactivePower.min, Match: <https://w3id.org/platoon/hasMinimumStatusPowerCurve>, Ontology: PlatoonEnergy.txt, Score: 0.8)
1. (Label: wec_std.RotorSpeed.avg, Match: <https://w3id.org/platoon/HighSpeedShaft>, Ontology: PlatoonWindturbine.txt, Score: 0.75)
2. (Label: wec_std.RotorSpeed.max, Match: <https://w3id.org/enershare/windturbine/PermanentMagnetGeneratorWindTurbine>, Ontology: EnershareWindturbine.txt, Score: 0.75)
3. (Label: wec_std.RotorSpeed.min, Match: <https://w3id.org/platoon/Pump>, Ontology: EnershareWindturbine.txt, Score: 0.75)
4. (Label: wec_std.Visibility.avg, Match: <https://w3id.org/enershare/windturbine/LineFilterCapacitor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
5. (Label: wec_std.Visibility.max, Match: <https://w3id.org/enershare/windturbine/LineFilterCapacitor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
6. (Label: wec_std.Visibility.min, Match: <https://w3id.org/enershare/windturbine/LineFilterCapacitor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
7. (Label: wec_std.WindSpeed.avg, Match: <https://w3id.org/enershare/windturbine/CouplingInductor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
8. (Label: wec_std.WindSpeed.max, Match: <https://w3id.org/enershare/windturbine/CouplingInductor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
9. (Label: wec_std.WindSpeed.min, Match: <https://w3id.org/enershare/windturbine/CouplingInductor>, Ontology: EnershareWindturbine.txt, Score: 0.75)
10. (Label: Time, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchSystem>, Ontology: EnershareWindturbine.txt, Score: 0.75)
1. (Label: ActivePowerGeneration [kW], Match: <https://w3id.org/platoon/hasDefaultCapacityActivePower>, Ontology: PlatoonEnergy.txt, Score: High)
2. (Label: ActivePowerConsumption [kW], Match: <https://w3id.org/platoon/hasActivePowerReference>, Ontology: PlatoonEnergy.txt, Score: High)
3. (Label: CurrentL1 [A], Match: <https://w3id.org/platoon/hasActivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
4. (Label: CurrentL2 [A], Match: <https://w3id.org/platoon/hasReactivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
5. (Label: CurrentL3 [A], Match: <https://w3id.org/platoon/hasStandardDeviationActivePower>, Ontology: PlatoonEnergy.txt, Score: High)
6. (Label: ReactivePowerGeneration [kvar], Match: <https://w3id.org/platoon/hasActivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
7. (Label: ReactivePowerConsumption [kvar], Match: <https://w3id.org/platoon/hasReactivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
8. (Label: VoltageL1 [V], Match: <https://w3id.org/platoon/hasActivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
9. (Label: VoltageL2 [V], Match: <https://w3id.org/platoon/hasReactivePowerProduction>, Ontology: PlatoonEnergy.txt, Score: High)
10. (Label: VoltageL3 [V], Match: <https://w3id.org/platoon/hasStandardDeviationActivePower>, Ontology: PlatoonEnergy.txt, Score: High)
1. (Label: interval, Match: <https://w3id.org/enershare/property/hasEvaluationInterval>, Ontology: EnershareProperty.txt, Score: High)
2. (Label: Power (kW), Match: <https://w3id.org/enershare/property/hasNormalEvaluationInterval>, Ontology: EnershareProperty.txt, Score: High)
3. (Label: Td (st. C), Match: <https://w3id.org/enershare/property/hasBeginingDataValue>, Ontology: EnershareProperty.txt, Score: High)
4. (Label: Tp (st. C), Match: <https://w3id.org/enershare/property/hasEndDataValue>, Ontology: EnershareProperty.txt, Score: High)
5. (Label: Flow (m3/h), Match: <https://w3id.org/enershare/property/hasEvaluationRegion>, Ontology: EnershareProperty.txt, Score: High)
6. (Label: Status of the meter (MWh), Match: <https://w3id.org/enershare/property/hasNormalEvaluationInterval>, Ontology: EnershareProperty.txt, Score: High)
7. (Label: interval, Match: <https://w3id.org/enershare/property/hasEvaluationInterval>, Ontology: EnershareProperty.txt, Score: High)
8. (Label: Tzun (0C), Match: <https://w3id.org/enershare/property/hasBeginingDataValue>, Ontology: EnershareProperty.txt, Score: High)
9. (Label: Td (0C), Match: <https://w3id.org/enershare/property/hasBeginingDataValue>, Ontology: EnershareProperty.txt, Score: High)
10. (Label: Tp (0C), Match: <https://w3id.org/enershare/property/hasEndDataValue>, Ontology: EnershareProperty.txt, Score: High)
1. (Label: Thermal power(kW), Match: <https://w3id.org/platoon/ThermalEnergyLoadProperty>, Ontology: PlatoonEnergy.txt, Score: High)
2. (Label: UPRA_GJI_ID, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Medium)
3. (Label: ZK_GJI_ID, Match: <https://w3id.org/seas/secondarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Medium)
4. (Label: TO_CEV_Name, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
5. (Label: Diameter_nominal_mm, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
6. (Label: External_diameter_mm, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
7. (Label: Year_of_construction, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
8. (Label: Year_of_insulation, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
9. (Label: Branch, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
10. (Label: Type_of_grid_name, Match: <https://w3id.org/seas/primarilyConnectedThrough>, Ontology: SEASElectricPowerSystem.txt, Score: Low)
1. (Label: FunctionName, Match: <https://w3id.org/enershare/system/hasSecondEnergyResourceNonRenewableEmissionFactorForCooling>, Ontology: EnershareSystem.txt, Score: High)
2. (Label: Material_type, Match: <https://w3id.org/seas/electricEnergy>, Ontology: SEASElectricPowerSystem.txt, Score: High)
3. (Label: Owner_name, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDaily>, Ontology: EnershareSystem.txt, Score: High)
4. (Label: Manager_Name, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDailyAllocation>, Ontology: EnershareSystem.txt, Score: High)
5. (Label: System_Name, Match: <https://w3id.org/seas/consumedElectricEnergy>, Ontology: SEASElectricPowerSystem.txt, Score: High)
6. (Label: Source_Name, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDailyNomination>, Ontology: EnershareSystem.txt, Score: High)
7. (Label: Accuracy_XY_Name, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergy>, Ontology: EnershareSystem.txt, Score: High)
8. (Label: Accuracy_Z_Name, Match: <https://w3id.org/enershare/system/consumedNaturalGasEnergyDailyFlow>, Ontology: EnershareSystem.txt, Score: High)
9. (Label: GJI_VIS_DATE_Name, Match: <https://w3id.org/enershare/system/consumedNaturalGasEnergyHourlyFlow>, Ontology: EnershareSystem.txt, Score: High)
10. (Label: GJI_ZK_ID, Match: <https://w3id.org/enershare/system/hasFirstEnergyResourceRenewableEmissionFactorForCooling>, Ontology: EnershareSystem.txt, Score: High)
1. (Label: GEO_Position, Match: <https://w3id.org/enershare/grid/NationalGrid>, Ontology: EnershareGrid.txt, Score: High)
2. (Label: Position_of_pipe_system_Name, Match: <https://w3id.org/enershare/system/WaterDistributionSystemNetwork>, Ontology: EnershareSystem.txt, Score: High)
3. (Label: INVENTORY_ID, Match: <https://w3id.org/enershare/system/hasEnergyCapacity>, Ontology: EnershareSystem.txt, Score: Medium)
4. (Label: OS_ID_MOV, Match: <https://w3id.org/enershare/system/hasMaximumChargePower>, Ontology: EnershareSystem.txt, Score: High)
5. (Label: OS_ID_SOS, Match: <https://w3id.org/enershare/system/hasMinimumChargePower>, Ontology: EnershareSystem.txt, Score: High)
6. (Label: Inseration_DATE, Match: <https://w3id.org/enershare/system/hasConstantChargeEfficiency>, Ontology: EnershareSystem.txt, Score: High)
7. (Label: Change_Date, Match: <https://w3id.org/enershare/system/hasConstantDisChargeEfficiency>, Ontology: EnershareSystem.txt, Score: High)
8. (Label: Comment, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyFlow>, Ontology: EnershareSystem.txt, Score: Low)
9. (Label: TIP_SPR, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDailyFlow>, Ontology: EnershareSystem.txt, Score: Medium)
10. (Label: OID, Match: <https://w3id.org/enershare/grid/Grid>, Ontology: EnershareGrid.txt, Score: High)
1. (Label: Length, Match: <https://w3id.org/seas/airQuality>, Ontology: SEASGenericProperty, Score: 0.6)
2. (Label: Component, Match: <https://w3id.org/platoon/energeticPerformanceClass>, Ontology: PlatoonBuilding, Score: 0.8)
3. (Label: Carrier, Match: <https://w3id.org/seas/airQuality>, Ontology: SEASGenericProperty, Score: 0.6)
4. (Label: Bus, Match: <https://w3id.org/seas/positiveToMidVoltage>, Ontology: SEASElectricPowerSystem, Score: 0.6)
5. (Label: From Bus, Match: <https://w3id.org/seas/positiveToNegativeVoltage>, Ontology: SEASElectricPowerSystem, Score: 0.6)
6. (Label: To Bus, Match: <https://w3id.org/seas/midToNegativeVoltage>, Ontology: SEASElectricPowerSystem, Score: 0.6)
7. (Label: Pnom, Match: <https://w3id.org/seas/airCO2Level>, Ontology: SEASGenericProperty, Score: 0.6)
8. (Label: Capital Cost, Match: <https://w3id.org/enershare/property/capitalCost>, Ontology: EnersharePriceProperty, Score: 0.8)
9. (Label: Marginal Cost, Match: <https://w3id.org/enershare/property/marginalCost>, Ontology: EnersharePriceProperty, Score: 0.8)
10. (Label: input_series_source_type, Match: <https://w3id.org/seas/airCO2Level>, Ontology: SEASGenericProperty, Score: 0.6)
1. (Label: input_series_source_uri, Match: <https://w3id.org/seas/connectedInRNThrough>, Ontology: SEASElectricPowerSystem.txt, Score: 0.8)
2. (Label: use_case_name, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchSystem>, Ontology: EnershareWindturbine.txt, Score: 0.9)
3. (Label: Investment Period, Match: <https://w3id.org/enershare/property/hasCapacity>, Ontology: EnershareProperty.txt, Score: 0.8)
4. (Label: carrier, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyFlow>, Ontology: EnershareSystem.txt, Score: 0.8)
5. (Label: Capacity Factor, Match: <https://w3id.org/enershare/property/HydrogenEnergyProductionEvaluation>, Ontology: EnershareProperty.txt, Score: 0.7)
6. (Label: Capital Expenditure, Match: <https://w3id.org/enershare/system/deliveredEnergy>, Ontology: EnershareSystem.txt, Score: 0.8)
7. (Label: Curtailment, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergy>, Ontology: EnershareSystem.txt, Score: 0.8)
8. (Label: Dispatch, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDailyFlow>, Ontology: EnershareSystem.txt, Score: 0.8)
9. (Label: Installed Capacity, Match: <https://w3id.org/enershare/property/hasOptimaCapacity>, Ontology: EnershareProperty.txt, Score: 0.8)
10. (Label: Market Value, Match: <https://w3id.org/enershare/system/deliveredNaturalGasEnergyDailyNomination>, Ontology: EnershareSystem.txt, Score: 0.8)
1. (Label: Operational Expenditure, Match: <https://w3id.org/enershare/property/hasIndividualOperationCost>, Ontology: EnersharePriceProperty.txt, Score: High)
2. (Label: Optimal Capacity, Match: <https://w3id.org/enershare/property/hasInvestementCost>, Ontology: EnersharePriceProperty.txt, Score: Medium)
3. (Label: Revenue, Match: <https://w3id.org/enershare/property/hasFinalEnergyCostPrice>, Ontology: EnersharePriceProperty.txt, Score: Medium)
4. (Label: Supply, Match: <https://w3id.org/enershare/player/ChargingPointOperator>, Ontology: EnersharePlayer.txt, Score: Low)
5. (Label: Withdrawal, Match: <https://w3id.org/enershare/property/hasChargingSessionCost>, Ontology: EnersharePriceProperty.txt, Score: Medium)
6. (Label: timestamp, Match: <https://w3id.org/enershare/property/hasEnergyDemand>, Ontology: EnershareProperty.txt, Score: High)
