{Label: GearOilTemperature_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_Status, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_TrackingOK, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PowerUnit_Pressure [bar], Match: hasMainSystemPressure, Ontology: EnershareProperty.txt, Score: 0.7}
{Label: TurbineControl_Enable, Match: Signal Command, Ontology: EnershareWindturbine.txt, Score: 0.7}
{Label: TurbineControl_GeneratorPower [W], Match: Active Power Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: hasNominalRotationalSpeed, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: TurbineControl_GeneratorTorque [kNm], Match: hasNominalTorque, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: TurbineControl_PitchAngleDemand [deg], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: TurbineControl_PitchAngles [deg](1), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: TurbineControl_PitchAngles [deg](2), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: TurbineControl_PitchAngles [deg](3), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: parc_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: date, Match: date, Ontology: OntoWind, Score: 1}
{Label: temperature_Data.AmbientTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_A_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_B_Temp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.Blade_C_Temp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.CtrlCabinetTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.FrontBearingTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.NacelleAmbientTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.NacelleTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.RectifierCab_Temp, Match: temperature_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.RotorTemp_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RotorTemp_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.SpinnerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.StatorTemp_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.StatorTemp_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempExcitationHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TowerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TransformerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: wec_std.Avg_AmbientBrightness, Match: hasGlobalHorizontalIrradiance, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.EnergyProduced, Match: produced electric energy, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: wec_std.NacellePosition, Match: Nacelle, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.OperatingHours, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Power.avg, Match: Physical Power Evaluation, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Power.max, Match: has maximum physical power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Power.min, Match: has minimum physical power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Precipitation.avg, Match: has forecast of average ozone property, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.Precipitation.max, Match: has forecast of accumulated precipitation property, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.Precipitation.min, Match: has forecast of probability of precipitation property, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.ReactivePower.max, Match: Positive Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.ReactivePower.min, Match: Negative Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.RotorSpeed.avg, Match: WindSpeed, Ontology: OntoWind.txt, Score: 0.9}
{Label: wec_std.RotorSpeed.max, Match: WindSpeed, Ontology: OntoWind.txt, Score: 0.9}
{Label: wec_std.RotorSpeed.min, Match: WindSpeed, Ontology: OntoWind.txt, Score: 0.9}
{Label: wec_std.Visibility.avg, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.Visibility.max, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.Visibility.min, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: wec_std.WindSpeed.avg, Match: WindSpeedProperty, Ontology: PlatoonWeather.txt, Score: 1}
{Label: wec_std.WindSpeed.max, Match: WindSpeedProperty, Ontology: PlatoonWeather.txt, Score: 1}
{Label: wec_std.WindSpeed.min, Match: WindSpeedProperty, Ontology: PlatoonWeather.txt, Score: 1}
{Label: Time, Match: unitHour, Ontology: Time.txt, Score: 1}
{Label: ActivePowerGeneration [kW], Match: Positive Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: ActivePowerConsumption [kW], Match: Negative Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL1 [A], Match: phase Current, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL2 [A], Match: phase Current, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL3 [A], Match: phase Current, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerGeneration [kvar], Match: Positive Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerConsumption [kvar], Match: Negative Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL1 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL2 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL3 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: interval, Match: NormalEvaluationInterval, Ontology: EnershareProperty, Score: 0.9}
{Label: Power (kW), Match: ElectricPowerProperty, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: Td (st. C), Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Tp (st. C), Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Flow (m3/h), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Status of the meter (MWh), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: interval, Match: NormalEvaluationInterval, Ontology: EnershareProperty, Score: 0.9}
{Label: Tzun (0C), Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Td (0C), Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Tp (0C), Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Thermal power(kW), Match: hasNominalThermalPower, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Diameter_nominal_mm, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: External_diameter_mm, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Year_of_construction, Match: hasConstructionYear, Ontology: EnershareProperty.txt, Score: 1}
{Label: Year_of_insulation, Match: hasInsulationYear, Ontology: EnershareProperty.txt, Score: 1}
{Label: Branch, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Type_of_grid_name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: FunctionName, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Material_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Owner_name, Match: Owner, Ontology: EnersharePlayer.txt, Score: 1}
{Label: Manager_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: System_Name, Match: System, Ontology: EnershareSystem.txt, Score: 1}
{Label: Source_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GEO_Position, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Inseration_DATE, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Change_Date, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Comment, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TIP_SPR, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Length, Match: Length Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Component, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Carrier, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Bus, Match: ThreePhasePowerBus, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: From Bus, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: To Bus, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Pnom, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Capital Cost, Match: capital Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: Marginal Cost, Match: marginal Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: input_series_source_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: input_series_source_uri, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: use_case_name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Investment Period, Match: hasScheduledInvestment, Ontology: EnershareMaintenance, Score: 0.8}
{Label: carrier, Match: EnergyResource, Ontology: EnershareSystem, Score: 0.7}
{Label: Capacity Factor, Match: EfficiencyProperty, Ontology: SEASElectricPowerSystem, Score: 0.6}
{Label: Capital Expenditure, Match: capital Cost, Ontology: EnersharePriceProperty, Score: 0.9}
{Label: Curtailment, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Dispatch, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Installed Capacity, Match: hasMinimumBatteryEnergyToBeInstalled, Ontology: EnershareProperty, Score: 0.5}
{Label: Market Value, Match: hasRetaillingPrice, Ontology: EnersharePriceProperty, Score: 0.7}
{Label: Operational Expenditure, Match: marginal Cost, Ontology: EnersharePriceProperty, Score: 0.8}
{Label: Optimal Capacity, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Revenue, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Supply, Match: hasDemand, Ontology: EnershareProperty, Score: 0.7}
{Label: Withdrawal, Match: hasElectricEnergyConsumptionFromGrid, Ontology: EnershareProperty, Score: 0.6}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: min_total_load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty, Score: 0.9}
{Label: max_total_load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty, Score: 0.9}
{Label: min_total_load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty, Score: 0.9}
{Label: max_total_load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty, Score: 0.9}
{Label: min_total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty, Score: 0.9}
{Label: max_total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty, Score: 0.9}
{Label: total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty, Score: 0.9}
{Label: actual_load, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: price, Match: has Energy cost Price, Ontology: EnershareProperty, Score: 0.9}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: lignite, Match: Coal Energy, Ontology: EnershareEnergyResource, Score: 0.8}
{Label: natural_gas, Match: Natural Gas Energy, Ontology: EnershareEnergyResource, Score: 0.9}
{Label: hydroelectric, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: renewables, Match: has Renewable Energy, Ontology: EnershareProperty, Score: 0.9}
{Label: net_imports, Match: hasNetDemand, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: res_forecast, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: res_injections, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: net load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: total imports, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: total exports, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: gr_al, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: al_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_bg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: bg_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_it, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: it_gr, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: gr_mk, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: mk_gr, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: gr_tr, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: tr_gr, Match: National Grid, Ontology: EnershareGrid, Score: 0.8}
{Label: timestamp, Match: measuredAfter, Ontology: EnershareProperty, Score: 0.9}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: hasBeginingDataValue, Ontology: EnershareProperty, Score: 0.7}
{Label: fossil_brown_coal/lignite, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: fossil_gas, Match: Natural Gas Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: fossil_oil, Match: Fuel Oil Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: hydro_pumped_storage, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: hydro_water_reservoir, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: solar, Match: Photovoltaic Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: wind_onshore, Match: Wind Turbine, Ontology: PlatoonWindturbine, Score: 1}
{Label: scheduled_generation, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: solar_dayahead, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: solar_intraday, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wind_dayahead, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wind_intraday, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: min_delivery_pressure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: max_delivery_pressure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: entry_point, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c1, Match: Class C, Ontology: PlatoonBuilding.txt, Score: 0.8}
{Label: c2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: i_c4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: n_c4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: i_c5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: n_c5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: neo_c5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c6_plus, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: n2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: co2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gross_heating_value, Match: has Gross Calorific Value, Ontology: EnershareProperty, Score: 0.9}
{Label: wobbe_index, Match: Wobbe Index Property, Ontology: EnershareProperty, Score: 1}
{Label: water_dew_point, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: hydrocarbon_dew_point_max, Match: has Hydro carbon Dew Point Max, Ontology: EnershareProperty, Score: 1}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: has End Data Value, Ontology: EnershareProperty, Score: 0.8}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: has End Data Value, Ontology: EnershareProperty, Score: 0.8}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: t1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: t2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: p_TOTAL_avg, Match: PositiveActivePowerProperty, Ontology: EnershareProperty, Score: 0.9}
{Label: q_TOTAL_avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: v_AB_avg, Match: VoltageProperty, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: v_BC_avg, Match: VoltageProperty, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: v_CA_avg, Match: VoltageProperty, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: freq_avg, Match: Frequency Meter, Ontology: EnershareDevice, Score: 0.7}
{Label: a_AN_avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: a_BN_avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: a_CN_avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: node_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: stn, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: soc, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: fracsec, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: vm1, Match: positiveToMidVoltage, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: vm2, Match: positiveToNegativeVoltage, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: vm3, Match: midToNegativeVoltage, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: im1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: im2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: im3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: vph1, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: vph2, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: vph3, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph1, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph2, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph3, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: f, Match: Frequency Meter, Ontology: EnershareDevice, Score: 0.8}
{Label: df, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: vzsm, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.7}
{Label: izsm, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.7}
```json
[
  {Label: vzsph, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: izsph, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: digita, Match: Digital Twin, Ontology: EnershareDigitalTwin, Score: 0.9},
  {Label: analog, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: MeasureID, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: VehicleID, Match: Vehicle Owner, Ontology: EnersharePlayer, Score: 0.8},
  {Label: Brand, Match: noMatch, Ontology: noMatch file name, Score: 0},
