1. (Label: node_id, Match: noMatch, Ontology: noMatch, Score: 0.85)
14. (Label: Current phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
15. (Label: Current phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
16. (Label: Current phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
17. (Label: Frequency, Match: noMatch, Ontology: n/a, Score: 0.8)  
18. (Label: RoCoF, Match: noMatch, Ontology: n/a, Score: 0.8)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: n/a, Score: 0.6)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: n/a, Score: 0.6)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: n/a, Score: 0.6)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: n/a, Score: 0.6)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: n/a, Score: 0.8)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: n/a, Score: 0.8)  
1. (Label: fraccsec, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
2. (Label: Timesecf, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
3. (Label: VoltagemagnitudeLN, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
4. (Label: CurrentmagnitudeLN, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
5. (Label: VoltagephaseLN, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
6. (Label: CurrentphaseLN, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
7. (Label: Frequency, Match: <https://w3id.org/enershare/device/FrequencyMeter>, Ontology: Enershare Device Ontology, Score: 0.9)  
8. (Label: RoCoF, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
9. (Label: Voltagezerosequencemagnitude, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
10. (Label: Currentzerosequencemagnitude, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
11. (Label: Voltagezerosequencephase, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
12. (Label: Currentzerosequencephase, Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
13. (Label: Digitalinput/output(always0), Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
14. (Label: Analoginput(always0), Match: noMatch, Ontology: No matching concept found, Score: 0.0)  
1. (Label: vm1, Match: noMatch, Ontology: - , Score: -)  
2. (Label: Measuring station (always 'Station-0'), Match: noMatch, Ontology: - , Score: -)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: - , Score: -)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: - , Score: -)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
14. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
15. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
16. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
17. (Label: Frequency, Match: noMatch, Ontology: - , Score: -)  
18. (Label: RoCoF, Match: noMatch, Ontology: - , Score: -)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: - , Score: -)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: - , Score: -)  
1. (Label: vm2, Match: noMatch, Ontology: noMatch, Score: 0.7)  
2. (Label: Measuring station (always 'Station-0'), Match: noMatch, Ontology: noMatch, Score: 0.7)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: noMatch, Score: 0.7)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
5. (Label: Voltage magnitude LN, Match: <https://w3id.org/seas/connectedInTNThrough>, Ontology: SEAS Electric Power System Ontology, Score: 0.9)  
6. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
7. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
8. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
9. (Label: Frequency, Match: noMatch, Ontology: noMatch, Score: 0.7)  
10. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.7)  
11. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
12. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
13. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
14. (Label: Current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
15. (Label: Digital input/output (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
16. (Label: Analog input (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
1. (Label: vm3, Match: noMatch, Ontology: - , Score: -)  
2. (Label: Measuring station, Match: noMatch, Ontology: - , Score: -)  
3. (Label: Unix timestamp, Match: <http://www.w3.org/2006/time#unixDate>, Ontology: W3-Time-Ontology, Score: High)  
4. (Label: Timestamp fraction of seconds, Match: <http://www.w3.org/2006/time#fraction> , Ontology: W3-Time-Ontology, Score: High)  
5. (Label: Voltage magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
6. (Label: Voltage magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
7. (Label: Voltage magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
8. (Label: Current magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
9. (Label: Current magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
10. (Label: Current magnitude LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
11. (Label: Voltage phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
12. (Label: Voltage phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
13. (Label: Voltage phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
14. (Label: Current phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
15. (Label: Current phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
16. (Label: Current phase LN, Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersln>, Ontology: SMI-Numbers, Score: Moderate)  
17. (Label: Frequency, Match: <http://www.w3.org/2006/time#Frequency>, Ontology: W3-Time-Ontology, Score: High)  
18. (Label: RoCoF, Match: noMatch, Ontology: - , Score: -)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
23. (Label: Digital input/output, Match: <http://www.w3.org/ns/prov#wasAssociatedWith>, Ontology: PROV-O, Score: Low)  
24. (Label: Analog input (always 0), Match: <http://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml#smiNumbersana>, Ontology: SMI-Numbers, Score: Moderate) 
1. (Label: Measuring station (always ‘Station-0’), Match: noMatch, Ontology: EnershareSystem, Score: 0.65)  
2. (Label: Unix timestamp, Match: noMatch, Ontology: EnershareSystem, Score: 0.65)  
3. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: EnershareSystem, Score: 0.70)  
4. (Label: Voltage magnitude LN, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.60)  
5. (Label: Current magnitude LN, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.60)  
6. (Label: Voltage phase LN, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.60)  
7. (Label: Current phase LN, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.60)  
8. (Label: Frequency, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.65)  
9. (Label: RoCoF, Match: noMatch, Ontology: SEASElectricPowerSystem, Score: 0.65)  
10. (Label: Voltage zero sequence magnitude, Match: MeasuredPower, Ontology: OntoWind, Score: 0.60)  
11. (Label: Current zero sequence magnitude, Match: MeasuredPower, Ontology: OntoWind, Score: 0.60)  
12. (Label: Voltage zero sequence phase, Match: MeasuredPower, Ontology: OntoWind, Score: 0.60)  
13. (Label: Current zero sequence phase, Match: MeasuredPower, Ontology: OntoWind, Score: 0.60)  
14. (Label: Digital input/output (always 0), Match: noMatch, Ontology: EnershareDigitalTwin, Score: 0.80)  
15. (Label: Analog input (always 0), Match: noMatch, Ontology: EnershareDigitalTwin, Score: 0.80)  
1. (Label: im2, Match: noMatch, Ontology: noMatch, Score: 0.7)  
2. (Label: Measuring station-0, Match: noMatch, Ontology: noMatch, Score: 0.6)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: noMatch, Score: 0.7)  
4. (Label: Timestamp fraction of second (always 0), Match: noMatch, Ontology: noMatch, Score: 0.6)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
14. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
15. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
16. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.6)  
17. (Label: Frequency, Match: noMatch, Ontology: noMatch, Score: 0.7)  
18. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.6)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: noMatch, Score: 0.6)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: noMatch, Score: 0.6)  
1. (Label: Voltage magnitude LN, Match: noMatch, Ontology: Enershare System, Score: 0.7)  
2. (Label: Current magnitude LN, Match: noMatch, Ontology: Enershare System, Score: 0.7)  
3. (Label: Voltage phase LN, Match: noMatch, Ontology: Enershare System, Score: 0.7)  
4. (Label: Current phase LN, Match: noMatch, Ontology: Enershare System, Score: 0.7)  
1. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
2. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
3. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
4. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
5. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
6. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
7. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
8. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
9. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
10. (Label: vph1, Match: noMatch, Ontology: noMatch, Score: 0.7)  
1. (Label: vph2, Match: noMatch, Ontology: noMatch, Score: 0.75)  
2. (Label: voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.83)  
3. (Label: current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.83)  
4. (Label: voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.83)  
5. (Label: current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.83)  
6. (Label: frequency, Match: noMatch, Ontology: noMatch, Score: 0.75)  
7. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.75)  
8. (Label: voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.82)  
9. (Label: current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.89)  
10. (Label: voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.82)  
11. (Label: current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.89)  
12. (Label: Digital input/output, Match: noMatch, Ontology: noMatch, Score: 0.67)  
13. (Label: Analog input, Match: noMatch, Ontology: noMatch, Score: 0.75)  
1. (Label: vph3, Match: noMatch, Ontology: ElectricMeasurementOntology, Score: 0.78)  
2. (Label: vph3, Match: Voltage L, Ontology: ElectricMeasurementOntology, Score: 0.75)  
3. (Label: vph3, Match: Voltage L, Ontology: ElectricMeasurementOntology, Score: 0.75)  
4. (Label: vph3, Match: Voltage L, Ontology: ElectricMeasurementOntology, Score: 0.75)  
5. (Label: vph3, Match: Current L, Ontology: ElectricMeasurementOntology, Score: 0.73)  
6. (Label: vph3, Match: Current L, Ontology: ElectricMeasurementOntology, Score: 0.73)  
7. (Label: vph3, Match: Current L, Ontology: ElectricMeasurementOntology, Score: 0.73)  
8. (Label: vph3, Match: Voltage LN, Ontology: ElectricMeasurementOntology, Score: 0.75)  
9. (Label: vph3, Match: Voltage LN, Ontology: ElectricMeasurementOntology, Score: 0.75)  
10. (Label: vph3, Match: Voltage LN, Ontology: ElectricMeasurementOntology, Score: 0.75)  
11. (Label: vph3, Match: Current LN, Ontology: ElectricMeasurementOntology, Score: 0.73)  
12. (Label: vph3, Match: Current LN, Ontology: ElectricMeasurementOntology, Score: 0.73)  
13. (Label: vph3, Match: Current LN, Ontology: ElectricMeasurementOntology, Score: 0.73)  
14. (Label: vph3, Match: Frequency, Ontology: ElectricMeasurementOntology, Score: 0.7)  
15. (Label: vph3, Match: InjectionRatio, Ontology: ElectricMeasurementOntology, Score: 0.5)  
16. (Label: vph3, Match: Current InjectionMagnitude, Ontology: ElectricMeasurementOntology, Score: 0.5)  
17. (Label: vph3, Match: Voltage InjectionMagnitude, Ontology: ElectricMeasurementOntology, Score: 0.5)  
18. (Label: vph3, Match: Current InjectionPhase, Ontology: ElectricMeasurementOntology, Score: 0.5)  
19. (Label: vph3, Match: Voltage InjectionPhase, Ontology: ElectricMeasurementOntology, Score: 0.5)  
20. (Label: vph3, Match: Digital input/output, Ontology: ElectricMeasurementOntology, Score: 0.47)  
21. (Label: vph3, Match: Analog input, Ontology: ElectricMeasurementOntology, Score: 0.5)  
1. (Label: iph1, Match: noMatch, Ontology: - , Score: 0.8)  
2. (Label: Station-0, Match: noMatch, Ontology: - , Score: 0.7)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: - , Score: 0.7)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: - , Score: 0.75)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: 0.75)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
14. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
15. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
16. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: 0.75)  
17. (Label: Frequency, Match: noMatch, Ontology: - , Score: 0.75)  
18. (Label: RoCoF, Match: noMatch, Ontology: - , Score: 0.8)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: - , Score: 0.75)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: - , Score: 0.75)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: - , Score: 0.75)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: - , Score: 0.75)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: - , Score: 0.7)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: - , Score: 0.75)  
1. (Label: iph2, Match: noMatch, Ontology: noMatch, Score: 0.7)  
2. (Label: Measuring station (always ‘Station-0’), Match: noMatch, Ontology: noMatch, Score: 0.6)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: noMatch, Score: 0.8)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: noMatch, Score: 0.6)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
14. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
15. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
16. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.8)  
17. (Label: Frequency, Match: noMatch, Ontology: noMatch, Score: 0.9)  
18. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.9)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.8)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.8)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.8)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.8)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: noMatch, Score: 0.6)
1. (Label: iph3, Match: noMatch, Ontology: - , Score: -)  
2. (Label: Measuring station (always 'Station-0'), Match: noMatch, Ontology: - , Score: -)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: - , Score: -)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: - , Score: -)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: - , Score: -)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: - , Score: -)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: - , Score: -)  
14. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
15. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
16. (Label: Current phase LN, Match: noMatch, Ontology: - , Score: -)  
17. (Label: Frequency, Match: noMatch, Ontology: - , Score: -)  
18. (Label: RoCoF, Match: noMatch, Ontology: - , Score: -)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: - , Score: -)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: - , Score: -)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: - , Score: -)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: - , Score: -)  
1. (Label: Frequency, Match: noMatch, Ontology: Enershare Digital Twin Ontology, Score: 0.8)
2. (Label: RoCoF, Match: noMatch, Ontology: Enershare Digital Twin Ontology, Score: 0.8)
3. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: Enershare Grid Ontology, Score: 0.8)
