{Label: GearOilTemperature_val, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: t2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: p_TOTAL_avg, Match: Positive Active Power Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: q_TOTAL_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: v_AB_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: v_BC_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: v_CA_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: freq_avg, Match: Frequency Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: a_AN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: a_BN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: a_CN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: node_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: stn, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: soc, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: fracsec, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: vm1, Match: voltage angle, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: vm2, Match: voltage angle, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: vm3, Match: voltage angle, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: im1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: im2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: im3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: vph1, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: vph2, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: vph3, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph1, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph2, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: iph3, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: f, Match: Frequency Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: df, Match: Frequency Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: vzsm, Match: Voltage Property, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: izsm, Match: Electric Current Property, Ontology: SEASElectricPowerSystem, Score: 0.8}
{Label: vzsph, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: izsph, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: digita, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: analog, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: MeasureID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: VehicleID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Brand, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Model, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Battery Power (kW), Match: noMatch, Ontology: noMatch, Score: 0}
