{Label: GearOilTemperature_val, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.OperatingHours, Match: Duration, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Power.avg, Match: Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Power.max, Match: Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Power.min, Match: Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Precipitation.avg, Match: Precipitation Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Precipitation.max, Match: Precipitation Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Precipitation.min, Match: Precipitation Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.ReactivePower.avg, Match: Phase Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.ReactivePower.max, Match: Phase Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.ReactivePower.min, Match: Phase Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.RotorSpeed.avg, Match: Rotor Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.RotorSpeed.max, Match: Rotor Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.RotorSpeed.min, Match: Rotor Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.Visibility.avg, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Visibility.max, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Visibility.min, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.WindSpeed.avg, Match: Wind Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.WindSpeed.max, Match: Wind Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: wec_std.WindSpeed.min, Match: Wind Speed Property, Ontology: PlatoonWindturbine, Score: 1}
{Label: Time, Match: Interval, Ontology: Time, Score: 1}
{Label: ActivePowerGeneration [kW], Match: Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: ActivePowerConsumption [kW], Match: Active Power Property, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL1 [A], Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL2 [A], Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL3 [A], Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerGeneration [kvar], Match: Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerConsumption [kvar], Match: Reactive Power Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL1 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL2 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL3 [V], Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: interval, Match: TimeInterval, Ontology: Time, Score: 1}
{Label: Power (kW), Match: ActivePowerProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: Td (st. C), Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Tp (st. C), Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Flow (m3/h), Match: FluidVolumeFlowRateProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: Status of the meter (MWh), Match: MeterStatusProperty, Ontology: EnershareBuilding, Score: 1}
{Label: interval, Match: TimeInterval, Ontology: Time, Score: 1}
{Label: Tzun (0C), Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Td (0C), Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Tp (0C), Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Thermal power(kW), Match: Thermal Energy Property, Ontology: EnershareProperty, Score: 1}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Diameter_nominal_mm, Match: Duct Diameter Property, Ontology: VDIDuctSystem, Score: 1}
{Label: External_diameter_mm, Match: Duct Diameter Property, Ontology: VDIDuctSystem, Score: 1}
{Label: Year_of_construction, Match: Construction Year Property, Ontology: EnershareBuilding, Score: 1}
{Label: Year_of_insulation, Match: Construction Year Property, Ontology: EnershareBuilding, Score: 1}
{Label: Branch, Match: Substation Property, Ontology: ElCoreSubstation, Score: 1}
{Label: Type_of_grid_name, Match: Electricity Grid Type, Ontology: ElCoreGrid, Score: 1}
{Label: FunctionName, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Material_type, Match: MaterialProperty, Ontology: EnershareProperty, Score: 1}
{Label: Owner_name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Manager_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: System_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Source_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: GEO_Position, Match: GeoCoordinates, Ontology: Geospatial, Score: 1}
{Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Inseration_DATE, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Change_Date, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Comment, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: TIP_SPR, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: OID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Length, Match: LineLength, Ontology: Elenergy, Score: 1}
{Label: Component, Match: BuildingComponent, Ontology: Elenergy, Score: 1}
{Label: Carrier, Match: EnergyCarrier, Ontology: Elenergy, Score: 1}
{Label: Bus, Match: Busbar, Ontology: EnershareInfrastructure, Score: 1}
{Label: From Bus, Match: Busbar, Ontology: EnershareInfrastructure, Score: 1}
{Label: To Bus, Match: Busbar, Ontology: EnershareInfrastructure, Score: 1}
{Label: Pnom, Match: RatedPowerProperty, Ontology: EnershareInfrastructure, Score: 1}
{Label: Capital Cost, Match: InvestmentCost, Ontology: EnershareInfrastructure, Score: 1}
{Label: Marginal Cost, Match: OperationalCost, Ontology: EnershareInfrastructure, Score: 1}
{Label: input_series_source_type, Match: FlowDirection, Ontology: EnershareSystem, Score: 1}
{Label: input_series_source_uri, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: use_case_name, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Investment Period, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: carrier, Match: EnergyProperty, Ontology: EnershareProperty, Score: 1}
{Label: Capacity Factor, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Capital Expenditure, Match: MonetaryValue, Ontology: EnershareProperty, Score: 1}
{Label: Curtailment, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Dispatch, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Installed Capacity, Match: ElectricPowerInstallation, Ontology: EnershareProperty, Score: 1}
{Label: Market Value, Match: MonetaryValue, Ontology: EnershareProperty, Score: 1}
{Label: Operational Expenditure, Match: Operational Expenditure Property, Ontology: PlatoonEnergy, Score: 1}
{Label: Optimal Capacity, Match: Installed Capacity Property, Ontology: EnershareSystem, Score: 1}
{Label: Revenue, Match: Revenue Property, Ontology: EnershareSystem, Score: 1}
{Label: Supply, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: Withdrawal, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: timestamp, Match: Influx Time Property, Ontology: Influxdb, Score: 1}
{Label: min_total_load, Match: EnergyConsumptionProperty, Ontology: EnershareSystem, Score: 1}
{Label: max_total_load, Match: EnergyConsumptionProperty, Ontology: EnershareSystem, Score: 1}
{Label: min_total_load, Match: EnergyConsumptionProperty, Ontology: EnershareSystem, Score: 1}
{Label: max_total_load, Match: EnergyConsumptionProperty, Ontology: EnershareSystem, Score: 1}
{Label: min_total_load, Match: ElectricPowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: max_total_load, Match: ElectricPowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: total_load, Match: ElectricPowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: actual_load, Match: ElectricPowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: price, Match: PriceProperty, Ontology: SEASProperty, Score: 1}
{Label: timestamp, Match: TimeIndex, Ontology: EnershareTime, Score: 1}
{Label: lignite, Match: EnergyResourceType, Ontology: EnershareSystem, Score: 1}
{Label: natural_gas, Match: EnergyResourceType, Ontology: EnershareSystem, Score: 1}
{Label: hydroelectric, Match: EnergyResourceType, Ontology: EnershareSystem, Score: 1}
{Label: renewables, Match: EnergyResourceType, Ontology: EnershareSystem, Score: 1}
{Label: net_imports, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: res_forecast, Match: Load Forecast Property, Ontology: PlatoonEnergy, Score: 1}
{Label: res_injections, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: net load, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: total imports, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: total exports, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: gr_al, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: al_gr, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: gr_bg, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: bg_gr, Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: gr_it, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: it_gr, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: gr_mk, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: mk_gr, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: gr_tr, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: tr_gr, Match: Conductor Property, Ontology: EnershareProperty, Score: 1}
{Label: timestamp, Match: Point In Time, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: Magnitude Property, Ontology: PlatoonEnergy, Score: 1}
{Label: fossil_brown_coal/lignite, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: fossil_gas, Match: Gas Consumption Property, Ontology: EnershareProperty, Score: 1}
{Label: fossil_oil, Match: Oil Consumption Property, Ontology: EnershareProperty, Score: 1}
{Label: hydro_pumped_storage, Match: Hydro Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: hydro_water_reservoir, Match: Hydro Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: solar, Match: Solar Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: wind_onshore, Match: Wind Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: scheduled_generation, Match: Electricity Generation Property, Ontology: EnershareProperty, Score: 1}
{Label: solar_dayahead, Match: Solar Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: solar_intraday, Match: Solar Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: wind_dayahead, Match: Wind Power Generation, Ontology: PlatoonWindturbine, Score: 1}
{Label: wind_intraday, Match: Wind Energy Forecast, Ontology: EnershareForecast, Score: 1}
{Label: timestamp, Match: Time Index, Ontology: EnershareTime, Score: 1}
{Label: point_id, Match: Market Document Id, Ontology: EliaDocument, Score: 1}
{Label: value, Match: Magnitude Property, Ontology: EnershareProperty, Score: 1}
{Label: point_type, Match: Market Document Type, Ontology: EliaDocument, Score: 1}
{Label: min_delivery_pressure, Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: max_delivery_pressure, Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: entry_point, Match: Market Document Id, Ontology: EliaDocument, Score: 1}
{Label: c1, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: c2, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: c3, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: i_c4, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: n_c4, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: i_c5, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: n_c5, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: neo_c5, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: c6_plus, Match: Phase Property, Ontology: PowerGrid, Score: 1}
{Label: n2, Match: GasProperty/NitrogenProperty, Ontology: EnershareGas, Score: 1}
{Label: co2, Match: GasProperty/CO2Property, Ontology: EnershareGas, Score: 1}
{Label: gross_heating_value, Match: GasEnergyProperty/GasEnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: wobbe_index, Match: Wobbe Index Property, Ontology: GasNetworkProperty, Score: 1}
{Label: water_dew_point, Match: Dew Point Temperature Property, Ontology: WeatherProperty, Score: 1}
{Label: hydrocarbon_dew_point_max, Match: Dew Point Temperature Property, Ontology: WeatherProperty, Score: 1}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: timestamp, Match: in XSD Date-Time-Stamp, Ontology: Time, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: t2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: p_TOTAL_avg, Match: active electrical power, Ontology: EnershareSystem, Score: 1}
{Label: q_TOTAL_avg, Match: reactive electrical power, Ontology: EnershareSystem, Score: 1}
{Label: v_AB_avg, Match: phase voltage, Ontology: EnershareSystem, Score: 1}
{Label: v_BC_avg, Match: phase voltage, Ontology: EnershareSystem, Score: 1}
{Label: v_CA_avg, Match: phase voltage, Ontology: EnershareSystem, Score: 1}
{Label: freq_avg, Match: Frequency Property, Ontology: SEASGenericProperty, Score: 1}
{Label: a_AN_avg, Match: phase current, Ontology: EnershareSystem, Score: 1}
{Label: a_BN_avg, Match: phase current, Ontology: EnershareSystem, Score: 1}
{Label: a_CN_avg, Match: phase current, Ontology: EnershareSystem, Score: 1}
{Label: node_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: stn, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: soc, Match: State of Charge Property, Ontology: EnershareProperty, Score: 1}
{Label: fracsec, Match: second, Ontology: Time, Score: 1}
{Label: vm1, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: vm2, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: vm3, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: im1, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: im2, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: im3, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: vph1, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: vph2, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: vph3, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: iph1, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: iph2, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: iph3, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: f, Match: Frequency Property, Ontology: EnershareProperty, Score: 1}
{Label: df, Match: state change frequency, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: vzsm, Match: Phase Voltage Property, Ontology: EnershareProperty, Score: 1}
{Label: izsm, Match: Phase Current Property, Ontology: EnershareProperty, Score: 1}
{Label: vzsph, Match: Phase Current Property, Ontology: PowerGrid, Score: 1}
{Label: izsph, Match: Phase Current Property, Ontology: PowerGrid, Score: 1}
{Label: digita, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: analog, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: MeasureID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: VehicleID, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Brand, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Model, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Battery Power (kW), Match: Electric Power Property, Ontology: PlatoonEnergy, Score: 1}
{Label: Battery Capacity (kWh), Match: EnergyProperty, Ontology: PlatoonEnergy, Score: 1}
{Label: Connector Type, Match: EVSEConnectorTypeProperty, Ontology: EnershareEVSE, Score: 1}
{Label: Autonomy (km), Match: EVStateOfChargeProperty, Ontology: EnershareEV, Score: 1}
{Label: Odometer (km), Match: DistanceProperty, Ontology: EnershareEV, Score: 1}
{Label: Battery SoC (%), Match: EVStateOfChargeProperty, Ontology: EnershareEV, Score: 1}
