{Label: gearoiltemperature_val, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_pv_blade1, Match: booleanproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pv_blade2, Match: booleanproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pv_blade3, Match: booleanproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_position_blade1 [m], Match: lengthproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_position_blade2 [m], Match: lengthproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_position_blade3 [m], Match: lengthproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_position_reference [m], Match: lengthproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pressure_a1_blade1 [bar], Match: pressureproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pressure_a1_blade2 [bar], Match: pressureproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pressure_a1_blade3 [bar], Match: pressureproperty, Ontology: enershareweather, Score: 0}
{Label: pitchcontrol_pressure_a2_blade1 [bar], Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_pressure_a2_blade2 [bar], Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_pressure_a2_blade3 [bar], Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_status, Match: pitch control, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_trackingok, Match: pitch control, Ontology: platoonwindturbine, Score: 0}
{Label: powerunit_pressure [bar], Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: turbinecontrol_enable, Match: pitch control, Ontology: platoonwindturbine, Score: 0}
{Label: turbinecontrol_generatorpower [w], Match: water consumption property, Ontology: enershareproperty, Score: 0}
{Label: turbinecontrol_generatorspeed [rpm], Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: turbinecontrol_generatortorque [knm], Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: turbinecontrol_pitchangledemand [deg], Match: degrees direction, Ontology: enershareweather, Score: 0}
{Label: turbinecontrol_pitchangles [deg](1), Match: degrees direction, Ontology: enershareweather, Score: 0}
{Label: turbinecontrol_pitchangles [deg](2), Match: degrees direction, Ontology: enershareweather, Score: 0}
{Label: turbinecontrol_pitchangles [deg](3), Match: degrees direction, Ontology: enershareweather, Score: 0}
{Label: turbinecontrol_run, Match: stator, Ontology: platoonwindturbine, Score: 0}
{Label: parc_code, Match: identifier, Ontology: platoonwindturbines, Score: 0}
{Label: mac_code, Match: identifier, Ontology: platoonwindturbines, Score: 0}
{Label: date, Match: in xsd date, Ontology: time, Score: 0}
{Label: temperature_data.ambienttemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.blade_a_temp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.blade_b_temp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.blade_c_temp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.ctrlcabinettemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.frontbearingtemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.nacelleambienttemp, Match: air temperature property, Ontology: platoonweather, Score: 0}
{Label: temperature_data.nacellectrlcabtemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.nacelletemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.nbsamplingvalues, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: temperature_data.rearbearingtemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.rectifiercab_temp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.rotortemp_1, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.rotortemp_2, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.spinnertemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.statortemp_1, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.statortemp_2, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempblade_a_pitchheatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempblade_b_pitchheatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempblade_c_pitchheatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempexcitationheatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempinsys_1_powercab_1, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempinsys_1_powercab_2, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.tempinsys_1_powercab_3, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.temppitchctrlbox_blade_a, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.temppitchctrlbox_blade_b, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.temppitchctrlbox_blade_c, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.temprectifier_1_heatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.temprectifier_2_heatsink, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.towertemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: temperature_data.transformertemp, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: wec_std.avg_ambientbrightness, Match: illuminance property, Ontology: enersharephotovoltaicpanel, Score: 0}
{Label: wec_std.avg_availableactivepowerlimitedbyextsetpoints, Match: negative reactive power, Ontology: enershareproperty, Score: 0}
{Label: wec_std.avg_bladeangleacross_a_b_c, Match: magnet property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.avg_labkoiceamplforicedetection, Match: chemical concentration property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.avg_maxavailableactivepowerlimitedbyforcemajeure, Match: positive reactive power, Ontology: enershareproperty, Score: 0}
{Label: wec_std.avg_technicallyavailableactivepower, Match: negative reactive power, Ontology: enershareproperty, Score: 0}
{Label: wec_std.avg_theoreticallavailableactivepowerinthewind, Match: positive reactive power, Ontology: enershareproperty, Score: 0}
{Label: wec_std.energyproduced, Match: heat energy property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.nacelleposition, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: wec_std.nbsamplingvalues, Match: phase current, Ontology: enershareproperty, Score: 0}
{Label: wec_std.operatinghours, Match: has ratio, Ontology: enershareproperty, Score: 0}
{Label: wec_std.power.avg, Match: active power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.power.max, Match: active power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.power.min, Match: active power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.precipitation.avg, Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.precipitation.max, Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.precipitation.min, Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.productivveminutes, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: wec_std.reactivepower.avg, Match: negative reactive power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.reactivepower.max, Match: positive reactive power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.reactivepower.min, Match: negative reactive power property, Ontology: enershareproperty, Score: 0}
{Label: wec_std.rotorspeed.avg, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: wec_std.rotorspeed.max, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: wec_std.rotorspeed.min, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: wec_std.visibility.avg, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: wec_std.visibility.max, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: wec_std.visibility.min, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: wec_std.windspeed.avg, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: wec_std.windspeed.max, Match: high speed shaft, Ontology: platoonwindturbine, Score: 0}
{Label: wec_std.windspeed.min, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: time, Match: interval in, Ontology: time, Score: 0}
{Label: activepowergeneration [kw], Match: active power property, Ontology: enershareproperty, Score: 0}
{Label: activepowerconsumption [kw], Match: active power property, Ontology: enershareproperty, Score: 0}
{Label: currentl1 [a], Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: currentl2 [a], Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: currentl3 [a], Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: reactivepowergeneration [kvar], Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: reactivepowerconsumption [kvar], Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: voltagel1 [v], Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: voltagel2 [v], Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: voltagel3 [v], Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: interval, Match: time interval, Ontology: time, Score: 0}
{Label: power (kw), Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: td (st. c), Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: tp (st. c), Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: flow (m3/h), Match: noise level property, Ontology: seasgenericproperty, Score: 0}
{Label: status of the meter (mwh), Match: has heat installation system, Ontology: enersharebuilding, Score: 0}
{Label: interval, Match: time interval, Ontology: time, Score: 0}
{Label: tzun (0c), Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: td (0c), Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: tp (0c), Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: thermal power(kw), Match: heat energy property, Ontology: enershareproperty, Score: 0}
{Label: upra_gji_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: zk_gji_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: to_cev_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: diameter_nominal_mm, Match: duct diameter property, Ontology: vdiductsystem, Score: 0}
{Label: external_diameter_mm, Match: duct diameter property, Ontology: vdiductsystem, Score: 0}
{Label: year_of_construction, Match: has reconstruction of energeering systems, Ontology: enersharebuilding, Score: 0}
{Label: year_of_insulation, Match: has reconstruction of energeering systems, Ontology: enersharebuilding, Score: 0}
{Label: branch, Match: substation property, Ontology: elcoresubstation, Score: 0}
{Label: type_of_grid_name, Match: electricity grid type, Ontology: elcoregrid, Score: 0}
{Label: functionname, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: material_type, Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: owner_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: manager_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: system_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: source_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: accuracy_xy_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: accuracy_z_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: gji_vis_date_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: gji_zk_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: geo_position, Match: geocoordinates, Ontology: geospatial, Score: 0}
{Label: position_of_pipe_system_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: inventory_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: os_id_mov, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: os_id_sos, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: inseration_date, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: change_date, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: comment, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: tip_spr, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: oid, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: length, Match: linelength, Ontology: elenergy, Score: 0}
{Label: component, Match: buildingcomponent, Ontology: elenergy, Score: 0}
{Label: carrier, Match: energycarrier, Ontology: elenergy, Score: 0}
{Label: bus, Match: busbar, Ontology: enershareinfrastructure, Score: 0}
{Label: from bus, Match: busbar, Ontology: enershareinfrastructure, Score: 0}
{Label: to bus, Match: busbar, Ontology: enershareinfrastructure, Score: 0}
{Label: pnom, Match: ratedpowerproperty, Ontology: enershareinfrastructure, Score: 0}
{Label: capital cost, Match: investmentcost, Ontology: enershareinfrastructure, Score: 0}
{Label: marginal cost, Match: operationalcost, Ontology: enershareinfrastructure, Score: 0}
{Label: input_series_source_type, Match: gas connection, Ontology: enersharesystem, Score: 0}
{Label: input_series_source_uri, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: use_case_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: investment period, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: carrier, Match: heat energy property, Ontology: enershareproperty, Score: 0}
{Label: capacity factor, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: capital expenditure, Match: has net calorific value, Ontology: enershareproperty, Score: 0}
{Label: curtailment, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: dispatch, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: installed capacity, Match: electric energy demand evaluation, Ontology: enershareproperty, Score: 0}
{Label: market value, Match: has net calorific value, Ontology: enershareproperty, Score: 0}
{Label: operational expenditure, Match: physical power property, Ontology: platoonenergy, Score: 0}
{Label: optimal capacity, Match: installed before, Ontology: enersharesystem, Score: 0}
{Label: revenue, Match: carbon foot print property, Ontology: enersharesystem, Score: 0}
{Label: supply, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: withdrawal, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: timestamp, Match: influx time property, Ontology: influxdb, Score: 0}
{Label: min_total_load, Match: ecological foot print property, Ontology: enersharesystem, Score: 0}
{Label: max_total_load, Match: ecological foot print property, Ontology: enersharesystem, Score: 0}
{Label: min_total_load, Match: ecological foot print property, Ontology: enersharesystem, Score: 0}
{Label: max_total_load, Match: ecological foot print property, Ontology: enersharesystem, Score: 0}
{Label: min_total_load, Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: max_total_load, Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: total_load, Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: actual_load, Match: reactive power property, Ontology: enershareproperty, Score: 0}
{Label: price, Match: priceproperty, Ontology: seasproperty, Score: 0}
{Label: timestamp, Match: timeindex, Ontology: enersharetime, Score: 0}
{Label: lignite, Match: has energy resource, Ontology: enersharesystem, Score: 0}
{Label: natural_gas, Match: has energy resource, Ontology: enersharesystem, Score: 0}
{Label: hydroelectric, Match: has energy resource, Ontology: enersharesystem, Score: 0}
{Label: renewables, Match: has energy resource, Ontology: enersharesystem, Score: 0}
{Label: net_imports, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: res_forecast, Match: gas energy property, Ontology: platoonenergy, Score: 0}
{Label: res_injections, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: net load, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: total imports, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: total exports, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: gr_al, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: al_gr, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: gr_bg, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: bg_gr, Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: gr_it, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: it_gr, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: gr_mk, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: mk_gr, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: gr_tr, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: tr_gr, Match: inductance property, Ontology: enershareproperty, Score: 0}
{Label: timestamp, Match: temporal unit type, Ontology: time, Score: 0}
{Label: point_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: value, Match: energy property, Ontology: platoonenergy, Score: 0}
{Label: fossil_brown_coal/lignite, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: fossil_gas, Match: water consumption property, Ontology: enershareproperty, Score: 0}
{Label: fossil_oil, Match: water consumption property, Ontology: enershareproperty, Score: 0}
{Label: hydro_pumped_storage, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: hydro_water_reservoir, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: solar, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: wind_onshore, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: scheduled_generation, Match: electric energy demand property, Ontology: enershareproperty, Score: 0}
{Label: solar_dayahead, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: solar_intraday, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: wind_dayahead, Match: induction generator, Ontology: platoonwindturbine, Score: 0}
{Label: wind_intraday, Match: forecast of wind energy production property, Ontology: enershareforecast, Score: 0}
{Label: timestamp, Match: time index, Ontology: enersharetime, Score: 0}
{Label: point_id, Match: market document id, Ontology: eliadocument, Score: 0}
{Label: value, Match: magnet property, Ontology: enershareproperty, Score: 0}
{Label: point_type, Match: market document type, Ontology: eliadocument, Score: 0}
{Label: min_delivery_pressure, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: max_delivery_pressure, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: entry_point, Match: market document id, Ontology: eliadocument, Score: 0}
{Label: c1, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: c2, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: c3, Match: phase property, Ontology: powergrid, Score: 0}
{Label: i_c4, Match: phase property, Ontology: powergrid, Score: 0}
{Label: n_c4, Match: phase property, Ontology: powergrid, Score: 0}
{Label: i_c5, Match: phase property, Ontology: powergrid, Score: 0}
{Label: n_c5, Match: phase property, Ontology: powergrid, Score: 0}
{Label: neo_c5, Match: phase property, Ontology: powergrid, Score: 0}
{Label: c6_plus, Match: phase property, Ontology: powergrid, Score: 0}
{Label: n2, Match: gasproperty/nitrogenproperty, Ontology: enersharegas, Score: 0}
{Label: co2, Match: gasproperty/co2property, Ontology: enersharegas, Score: 0}
{Label: gross_heating_value, Match: delivered natural gas energy hourly flow, Ontology: enersharesystem, Score: 0}
{Label: wobbe_index, Match: wobbe index property, Ontology: gasnetworkproperty, Score: 0}
{Label: water_dew_point, Match: dew point temperature property, Ontology: weatherproperty, Score: 0}
{Label: hydrocarbon_dew_point_max, Match: dew point temperature property, Ontology: weatherproperty, Score: 0}
{Label: timestamp, Match: in xsd date-time-stamp, Ontology: time, Score: 0}
{Label: point_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: value, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: point_type, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: timestamp, Match: in xsd date-time-stamp, Ontology: time, Score: 0}
{Label: point_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: value, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: point_type, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: timestamp, Match: in xsd date-time-stamp, Ontology: time, Score: 0}
{Label: point_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: value, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: point_type, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: timestamp, Match: in xsd date-time-stamp, Ontology: time, Score: 0}
{Label: point_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: value, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: point_type, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: t2, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: p_total_avg, Match: delivers electricity to, Ontology: enersharesystem, Score: 0}
{Label: q_total_avg, Match: delivers electricity to, Ontology: enersharesystem, Score: 0}
{Label: v_ab_avg, Match: smart plug, Ontology: enersharesystem, Score: 0}
{Label: v_bc_avg, Match: water tank, Ontology: enersharesystem, Score: 0}
{Label: v_ca_avg, Match: smart plug, Ontology: enersharesystem, Score: 0}
{Label: freq_avg, Match: air quality property, Ontology: seasgenericproperty, Score: 0}
{Label: a_an_avg, Match: has carbon foot print, Ontology: enersharesystem, Score: 0}
{Label: a_bn_avg, Match: has carbon foot print, Ontology: enersharesystem, Score: 0}
{Label: a_cn_avg, Match: has carbon foot print, Ontology: enersharesystem, Score: 0}
{Label: node_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: stn, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: soc, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: fracsec, Match: second, Ontology: time, Score: 0}
{Label: vm1, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: vm2, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: vm3, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: im1, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: im2, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: im3, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: vph1, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: vph2, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: vph3, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: iph1, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: iph2, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: iph3, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: f, Match: demand property, Ontology: enershareproperty, Score: 0}
{Label: df, Match: tap changer, Ontology: seaselectricpowersystem, Score: 0}
{Label: vzsm, Match: phase voltage property, Ontology: enershareproperty, Score: 0}
{Label: izsm, Match: phase current property, Ontology: enershareproperty, Score: 0}
{Label: vzsph, Match: phase current property, Ontology: powergrid, Score: 0}
{Label: izsph, Match: phase current property, Ontology: powergrid, Score: 0}
{Label: digita, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: analog, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: measureid, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: vehicleid, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: brand, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: model, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: battery power (kw), Match: electric load property, Ontology: platoonenergy, Score: 0}
{Label: battery capacity (kwh), Match: energy property, Ontology: platoonenergy, Score: 0}
{Label: connector type, Match: evseconnectortypeproperty, Ontology: enershareevse, Score: 0}
{Label: autonomy (km), Match: evstateofchargeproperty, Ontology: enershareev, Score: 0}
{Label: odometer (km), Match: distanceproperty, Ontology: enershareev, Score: 0}
{Label: battery soc (%), Match: evstateofchargeproperty, Ontology: enershareev, Score: 0}
{Label: timestamp, Match: owl time, Ontology: time, Score: 0}
{Label: ocpp_device, Match: evsestationproperty, Ontology: enershareevse, Score: 0}
{Label: id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: type, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: integration, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: created_at, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: attributes, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: partner_name, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: user_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: connector_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: external_id, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: charge_point, Match: entry gas connection point, Ontology: enersharesystem, Score: 0}
{Label: vendor, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: model, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: serial_number, Match: nomatch, Ontology: nomatch, Score: 0}
{Label: charge_box, Match: electric mobility platform, Ontology: enersharesystem, Score: 0}
{Label: ocpp_protocol, Match: has insulation material, Ontology: enersharesystem, Score: 0}
{Label: registration_status, Match: has insulation material, Ontology: enersharesystem, Score: 0}
{Label: settings, Match: combined charging system combo, Ontology: enersharesystem, Score: 0}
{Label: charging_preferences, Match: creates, Ontology: enersharesystem, Score: 0}
{Label: charging_behavior, Match: coal generator, Ontology: enersharesystem, Score: 0}
{Label: ready_time, Match: hours duration, Ontology: time, Score: 0}
{Label: location_id, Match: location, Ontology: enersharemeta, Score: 0}
{Label: spot_price_area_id, Match: electric mobility platform, Ontology: enersharesystem, Score: 0}
{Label: target_soc, Match: has maximum state of charge ratio, Ontology: enersharesystem, Score: 0}
{Label: minimal_soc, Match: heat energy property, Ontology: enershareproperty, Score: 0}
{Label: minimum_energy_transfer, Match: electric energy demand property, Ontology: enershareproperty, Score: 0}
{Label: target_energy_transfer, Match: electric energy demand property, Ontology: enershareproperty, Score: 0}
{Label: ocpp, Match: magnet property, Ontology: enershareproperty, Score: 0}
{Label: battery_capacity, Match: capacitance property, Ontology: enershareproperty, Score: 0}
{Label: current_soc, Match: heat energy property, Ontology: enershareproperty, Score: 0}
