{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: PitchControl_Position_Blade1 [m], Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Blade2 [m], Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Blade3 [m], Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Reference [m], Match: has pitch angle setpoint, Ontology: PlatoonWindturbine.txt, Score: 0.7}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Hydraulic Pitch High Pressure Hose, Ontology: EnershareWindturbine.txt, Score: 0.85}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Hydraulic Pitch High Pressure Hose, Ontology: EnershareWindturbine.txt, Score: 0.85}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Hydraulic Pitch High Pressure Hose, Ontology: EnershareWindturbine.txt, Score: 0.85}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: Pressure Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: Pressure Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: Pressure Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: PitchControl_Status, Match: TurbineStatus, Ontology: OntoWind.txt, Score: 0.8}
{Label: PitchControl_TrackingOK, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: PowerUnit_Pressure [bar], Match: Pressure Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: TurbineControl_Enable, Match: hasCommand, Ontology: EnershareWindturbine.txt, Score: 0.7}
{Label: TurbineControl_GeneratorPower [W], Match: ElectricEnergyProperty, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TurbineControl_GeneratorTorque [kNm], Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TurbineControl_PitchAngleDemand [deg], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](1), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](2), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](3), Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: parc_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: date, Match: issued, Ontology: EnershareMarket.txt, Score: 0.7}
{Label: temperature_Data.AmbientTemp, Match: hasOutdoorAirTemperature, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.Blade_A_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.Blade_B_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_C_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.CtrlCabinetTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.FrontBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleAmbientTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RectifierCab_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RotorTemp_1, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.RotorTemp_2, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.SpinnerTemp, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 0.8}
{Label: temperature_Data.StatorTemp_1, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 0.8}
{Label: temperature_Data.StatorTemp_2, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 0.8}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempExcitationHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TowerTemp, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TransformerTemp, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: wec_std.Avg_AmbientBrightness, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: has average active power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: has maximum active power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: has average active power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: has average active power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: wec_std.EnergyProduced, Match: produced electric energy, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.OperatingHours, Match: Hour (unit of temporal duration), Ontology: Time.txt, Score: 0.8}
{Label: wec_std.Power.avg, Match: Positive Active Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.Power.max, Match: Positive Active Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.Power.min, Match: Negative Active Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.Precipitation.avg, Match: Precipitation Property, Ontology: PlatoonWeather.txt, Score: 0.9}
{Label: wec_std.Precipitation.max, Match: Precipitation Property, Ontology: PlatoonWeather.txt, Score: 0.9}
{Label: wec_std.Precipitation.min, Match: Precipitation Property, Ontology: PlatoonWeather.txt, Score: 0.9}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.ReactivePower.max, Match: Positive Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.ReactivePower.min, Match: Reactive Power Evaluation, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: wec_std.RotorSpeed.avg, Match: Speed Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: wec_std.RotorSpeed.max, Match: Speed Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: wec_std.RotorSpeed.min, Match: Speed Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: wec_std.Visibility.avg, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Visibility.max, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Visibility.min, Match: hasForecastOfVisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.WindSpeed.avg, Match: WindSpeed, Ontology: OntoWind, Score: 1}
{Label: wec_std.WindSpeed.max, Match: WindSpeed, Ontology: OntoWind, Score: 1}
{Label: wec_std.WindSpeed.min, Match: WindSpeed, Ontology: OntoWind, Score: 1}
{Label: Time, Match: unitHour, Ontology: Time, Score: 0.9}
{Label: ActivePowerGeneration [kW], Match: Positive Active Power Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: ActivePowerConsumption [kW], Match: Negative Active Power Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: CurrentL1 [A], Match: Current Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: CurrentL2 [A], Match: Current Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: CurrentL3 [A], Match: Current Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: ReactivePowerGeneration [kvar], Match: Positive Reactive Power Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: ReactivePowerConsumption [kvar], Match: Negative Reactive Power Property, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: VoltageL1 [V], Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: VoltageL2 [V], Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: VoltageL3 [V], Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: interval, Match: has Evaluation Region, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: Power (kW), Match: electric power, Ontology: SEASElectricPowerSystem.txt, Score: 0.95}
{Label: Td (st. C), Match: has minimum temperature, Ontology: PlatoonWindturbine.txt, Score: 0.85}
{Label: Tp (st. C), Match: has maximum temperature, Ontology: PlatoonWindturbine.txt, Score: 0.85}
{Label: Flow (m3/h), Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Status of the meter (MWh), Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: interval, Match: has Evaluation Region, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: Tzun (0C), Match: has minimum temperature, Ontology: PlatoonWindturbine.txt, Score: 0.85}
{Label: Td (0C), Match: has minimum temperature, Ontology: PlatoonWindturbine.txt, Score: 0.85}
{Label: Tp (0C), Match: has maximum temperature, Ontology: PlatoonWindturbine.txt, Score: 0.85}
{Label: Thermal power(kW), Match: has Charge Power, Ontology: EnershareSystem.txt, Score: 0.9}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Diameter_nominal_mm, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: External_diameter_mm, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Year_of_construction, Match: hasCarryingOutConstructionWorks, Ontology: EnershareBuilding.txt, Score: 0.7}
{Label: Year_of_insulation, Match: hasInsulationClass, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: Branch, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Type_of_grid_name, Match: Grid, Ontology: EnershareGrid.txt, Score: 0.9}
{Label: FunctionName, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Material_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Owner_name, Match: Owner, Ontology: EnersharePlayer.txt, Score: 0.9}
{Label: Manager_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: System_Name, Match: System, Ontology: SEASElectricPowerSystem.txt, Score: 0.8}
{Label: Source_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GEO_Position, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Inseration_DATE, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Change_Date, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Comment, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TIP_SPR, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OID, Match: noMatch, Ontology: noMatch file name, Score: 0}
```json
[
  {Label: Length, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: Component, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: Carrier, Match: noMatch, Ontology: noMatch file name, Score: 0},
  {Label: Bus, Match: ThreePhasePowerBus, Ontology: SEASElectricPowerSystem.txt, Score: 0.9},
  {Label: From Bus, Match: connectsPrimarilyAt, Ontology: SEASElectricPowerSystem.txt, Score: 0.7},
  {Label: To Bus, Match: connectsSecondarilyAt, Ontology: SEASElectricPowerSystem.txt, Score: 0.7},
  {Label: Pnom, Match: hasNominalThermalPower, Ontology: PlatoonEnergy.txt, Score: 0.8},
  {Label: Capital Cost, Match: capitalCost, Ontology: EnersharePriceProperty.txt, Score: 1},
  {Label: Marginal Cost, Match: marginalCost, Ontology: EnersharePriceProperty.txt, Score: 1},
  {Label: input_series_source_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
]
```
{Label: input_series_source_uri, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: use_case_name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Investment Period, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: carrier, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Capacity Factor, Match: has Capacity, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: Capital Expenditure, Match: capital Cost, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: Curtailment, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Dispatch, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Installed Capacity, Match: has Capacity, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: Market Value, Match: Market, Ontology: EnershareMarket.txt, Score: 0.7}
{Label: Operational Expenditure, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Optimal Capacity, Match: hasEnergyCapacity, Ontology: EnershareSystem.txt, Score: 0.9}
{Label: Revenue, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Supply, Match: deliveredEnergy, Ontology: EnershareSystem.txt, Score: 0.7}
{Label: Withdrawal, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: min_total_load, Match: hasMinimumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}
{Label: max_total_load, Match: hasMaximumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}
{Label: min_total_load, Match: hasMinimumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}
{Label: max_total_load, Match: hasMaximumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}
{Label: min_total_load, Match: hasWeekAheadForecastOfMinimumTotalElectricEnergyLoadProperty, Ontology: EnershareForecast.txt, Score: 0.9}
{Label: max_total_load, Match: hasDayAheadForecastOfMaximumTotalElectricEnergyLoadProperty, Ontology: EnershareForecast.txt, Score: 0.9}
{Label: total_load, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: actual_load, Match: hasForecastOfElectricEnergyNetLoadProperty, Ontology: EnershareForecast.txt, Score: 0.7}
{Label: price, Match: hasElectricityPrice, Ontology: EnersharePriceProperty.txt, Score: 0.9}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: lignite, Match: CoalEnergy, Ontology: EnershareEnergyResource.txt, Score: 0.8}
{Label: natural_gas, Match: NaturalGas, Ontology: EnershareEnergyResource.txt, Score: 0.9}
{Label: hydroelectric, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: renewables, Match: hasRenewableEnergy, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: net_imports, Match: hasNetDemand, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: res_forecast, Match: hasForecastOfTotalElectricEnergyLoadProperty, Ontology: EnershareForecast.txt, Score: 0.9}
{Label: res_injections, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: net load, Match: hasForecastOfElectricEnergyNetLoadProperty, Ontology: EnershareForecast.txt, Score: 0.85}
{Label: total imports, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty.txt, Score: 0.75}
{Label: total exports, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_al, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: al_gr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_bg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: bg_gr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_it, Match: connects system in Hot2-to-Hot1, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: it_gr, Match: connects system in Hot1-to-Hot2, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: gr_mk, Match: connects system in Hot2-to-Hot1, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: mk_gr, Match: connects system in Hot1-to-Hot2, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: gr_tr, Match: connects system in Hot2-to-Hot1, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: tr_gr, Match: connects system in Hot1-to-Hot2, Ontology: SEASElectricPowerSystem.txt, Score: 0.9}
{Label: timestamp, Match: has Begin Data Value, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: point_id, Match: connects primarily at, Ontology: SEASElectricPowerSystem.txt, Score: 0.7}
{Label: value, Match: has Demand, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: fossil_brown_coal/lignite, Match: Natural Gas Energy, Ontology: EnershareEnergyResource.txt, Score: 0.6}
{Label: fossil_gas, Match: Natural Gas Energy, Ontology: EnershareEnergyResource.txt, Score: 0.9}
{Label: fossil_oil, Match: Fuel Oil Energy, Ontology: EnershareEnergyResource.txt, Score: 0.9}
{Label: hydro_pumped_storage, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: hydro_water_reservoir, Match: Water Distribution System Network, Ontology: EnershareSystem.txt, Score: 0.7}
{Label: solar, Match: Photovoltaic Energy, Ontology: EnershareEnergyResource.txt, Score: 0.9}
{Label: wind_onshore, Match: Onshore Wind Turbine, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: scheduled_generation, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: solar_dayahead, Match: has Day Ahead Forecast Of Energy Production Property, Ontology: EnershareForecast.txt, Score: 0.8}
{Label: solar_intraday, Match: has Intraday Forecast Of Energy Production Property, Ontology: EnershareForecast.txt, Score: 0.8}
{Label: wind_dayahead, Match: has Day Ahead Forecast Of Wind Energy Production Property, Ontology: EnershareForecast.txt, Score: 0.9}
{Label: wind_intraday, Match: has Wind Energy Production, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: connects primarily at, Ontology: SEASElectricPowerSystem.txt, Score: 0.7}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: min_delivery_pressure, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: max_delivery_pressure, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: entry_point, Match: connects primarily at, Ontology: SEASElectricPowerSystem.txt, Score: 0.7}
{Label: c1, Match: ClassC, Ontology: PlatoonBuilding.txt, Score: 0.8}
{Label: c2, Match: ClassC, Ontology: PlatoonBuilding.txt, Score: 0.8}
{Label: c3, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: neo_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: c6_plus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: co2, Match: Air CO2 level Property, Ontology: SEASGenericProperty.txt, Score: 0.9}
{Label: gross_heating_value, Match: has Daily Gross Calorific Value, Ontology: EnershareProperty.txt, Score: 0.85}
{Label: wobbe_index, Match: Wobbe Index Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: water_dew_point, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: hydrocarbon_dew_point_max, Match: has Hydro carbon Dew Point Max, Ontology: EnershareProperty.txt, Score: 1}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: t1, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: t2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: p_TOTAL_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: q_TOTAL_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: v_AB_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: v_BC_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: v_CA_avg, Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: freq_avg, Match: Frequency Meter, Ontology: EnershareDevice.txt, Score: 0.7}
{Label: a_AN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: a_BN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: a_CN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: node_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: stn, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: soc, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: fracsec, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: vm1, Match: phase to neutral voltage, Ontology: SEASElectricPowerSystem.txt, Score: 0.8}
{Label: vm2, Match: R-to-S voltage, Ontology: SEASElectricPowerSystem.txt, Score: 0.8}
